url,abstract,short_abstract,BART_sum
604_v.Chr.,Het jaar 604 v.Chr. is een jaartal volgens de christelijke jaartelling.,Het jaar 604 v.Chr. is een jaartal volgens de christelijke jaartelling.,summarize: Hetyear 604 v.Chr. este eenyeartal volgens de christelijke Yeartelling.-----(Anuare)--ul Crăciunului.
1480,Het jaar 1480 is het 80e jaar in de 15e eeuw volgens de christelijke jaartelling.,Het jaar 1480 is het 80e jaar in de 15e eeuw volgens de christelijke jaartelling.,summarize: Het year 1480 este het 80e an in de 15e eeuw volgens de christelijke Yeartelling.-----(Portugalia)---(Portugalia)
Butmir,"Butmir is een wijk in Ilidža, in het kanton Sarajevo van Bosnië en Herzegovina. Het internationale vliegveld van Sarajevo bevindt zich in Butmir. Hoewel het tegenwoordig deel uitmaakt van Ilidža was het lange tijd een zelfstandig stadje. Butmir is van historisch en archeologisch belang vanwege de Butmir-cultuur uit 2600 - 2400 v.Chr. De eerste ontdekkingen hiervan werden gedaan in 1893, toen er een start werd gemaakt met de bouw van de universiteit van Sarajevo. De omvang van de vondsten (waaronder veel aardewerk) gaf aanleiding tot het organisaeren van een Internationaal Congres van Archeologie en Antropologie in Sarajevo, in augustus 1894. Een groot deel van de vondsten maken nu deel uit van de collectie van het Nationaal Museum van Bosnië en Herzegovina.De Butmir-cultuur verdween in het bronzen tijdperk, en werd waarschijnlijk onder de voet gelopen door de Illyriërs die zich toen in die regio vestigden. Tijdens de belegering van Sarajevo in 1992 - 1995 kreeg Butmir bekendheid door de tunnel die onder het vliegveld door was gegraven vanuit het belegerde Dobrinja in Sarajevo, tot in het 'vrije' Butmir. Deze tunnel werd gebruikt om voedsel en wapens de stad in de smokkelen, en om mensen er uit te laten reizen. Dat laatste viel overigens niet mee, door de hoge prijzen die de beheerders van de tunnel hiervoor vroegen","Butmir is een wijk in Ilidža, in het kanton Sarajevo van Bosnië en Herzegovina. Het internationale vliegveld van Sarajevo bevindt zich in Butmir. Hoewel het tegenwoordig deel uitmaakt van Ilidža was het lange tijd een zelfstandig stadje.","summarize: Butmir este un cartier din Ilidža, în cantonul Saraievo din Bosnia şi Herţegovina. Zidul internaţional de vânătoare din Saraievo se află în Butmir, deşi Ilidža a fost timp îndelungat un oraş independent. Butmir are un interes istoric şi arheologic datorită culturii Butmir din 2600 - 2400 î.Chr. Primele descoperiri hiervan au fost făcute în 1893, când"
Raymond_Duchamp-Villon,"Raymond Duchamp-Villon ( Damville ( Eure), 5 november 1876 – Cannes, 7 oktober 1918) was een Franse beeldhouwer Zijn vader was een welgestelde notaris. Twee broers, Marcel Duchamp en Jacques Villon (Gaston Duchamp), en een zus, Suzanne Duchamp, werden even bekende kunstschilders. Oorspronkelijk zou Raymond arts worden, maar zijn gezondheidstoestand verplichtte hem zijn studies voortijdig op te geven. Hij volgde geen enkele kunstacademie en begon in 1898 te tekenen en te beeldhouwen. Sinds 1901 verbleef hij in Parijs en aanvankelijk werkte hij naar de natuur-stijl van Rodin, getuige zijn grote Torse de femme uit 1907 in het Musée National d'Art Moderne. In 1907 werd hij buur van zijn broer Jacques Villon en van František Kupka, in Puteaux. Dit was meteen het keerpunt in zijn artistiek bestaan. Hier werd hij een der geestdriftige bezielers van de Section d'or van zijn broer Jacques, naast Kupka, Albert Gleizes, Jean Metzinger, Francis Picabia, Fernand Léger, Guillaume Apollinaire en zijn jongere broer Marcel. Met zijn intelligentie bracht hij de vernieuwingstendens in het Kubisme en het Futurisme binnen de driedimentionale sculptuur, vanaf 1910. Zijn Grand Cheval, een brons van 107 cm hoog, een bio-mechanische synthese van de paardenkracht, die hij creëerde in 1914, is het belangrijkste beeld uit zijn eerder beperkte oeuvre. Als vrijwilliger geëngageerd bij het Franse leger, tijdens de Eerste Wereldoorlog, velde een aan het front opgelopen ziekte hem in Cannes, op 41-jarige leeftijd.","Raymond Duchamp-Villon (Damville (Eure), 5 november 1876 – Cannes, 7 oktober 1918) was een Franse beeldhouwer Zijn vader was een welgestelde notaris. Twee broers, Marcel Duchamp en Jacques Villon (Gaston Duchamp), en een zus, , werden even bekende kunstschilders. Met zijn intelligentie bracht hij de vernieuwingstendens in het Kubisme en het Futurisme binnen de driedimentionale sculptuur, vanaf 1910. Zijn Grand Cheval, een brons van 107 cm hoog, een bio-mechanische synthese van de paardenkracht, die hij creëerde in 1914, is het belangrijkste beeld uit zijn eerder beperkte oeuvre.","summarize: Raymond Duchamp-Villon ( Damville ( Eure), 5 noiembrie 1876 – Cannes, 7 octombrie 1918) a fost un pictor francez. Tatăl său era un notar binecunoscut. Doi fraţi, Marcel Duchamp şi Jacques Villon (Gaston Duchamp), şi un zus, Suzanne Duchamp, au fost chiar renumiţi pictori. Raymond ar fi fost artă, dar starea sa de sănătate l-a obligat"
Vitali_Tsesjkovski,"Vitali Valerjevitsj Tsesjkovski ( Russisch: Виталий Валерьевич Цешковский) ( Omsk, 25 september 1944 - Krasnodar, 24 december 2011) was een Russisch schaker. Hij was een FIDE grootmeester. Tsesjkovski speelde mee om het kampioenschap van Rusland dat in november 2004 in Moskou gespeeld werd en hij is de oudste deelnemer. In 1978 (gedeeld eerste met Michail Tal) en 1986 was hij al kampioen van de Sovjet-Unie en in 1976 miste hij nipt de plaatsing in een kandidatentoernooi. Tevens was hij trainer van onder andere Vladimir Kramnik. Hij stierf, net als de Nederlandse schaker Adolf Olland in de vorige eeuw, in het harnas; hij verloor onder de partij het bewustzijn en overleed.Op het Hasting International Chess Congress 2003 eindigde Vitali op de tiende plaats. De Deense grootmeester Peter Heine Nielsen werd eerste.","Vitali Valerjevitsj Tsesjkovski (Russisch: Виталий Валерьевич Цешковский) (Omsk, 25 september 1944 - Krasnodar, 24 december 2011) was een Russisch schaker. Hij was een FIDE grootmeester. Tsesjkovski speelde mee om het kampioenschap van Rusland dat in november 2004 in Moskou gespeeld werd en hij is de oudste deelnemer. In 1978 (gedeeld eerste met Michail Tal) en 1986 was hij al kampioen van de Sovjet-Unie en in 1976 miste hij nipt de plaatsing in een kandidatentoernooi. Tevens was hij trainer van onder andere Vladimir Kramnik. Hij stierf, net als de Nederlandse schaker Adolf Olland in de vorige eeuw, in het harnas; hij verloor onder de partij het bewustzijn en overleed.","summarize: Vitali Valerjevitsj Tsesjkovski ( rusesc: Виталий Валерьевич Цешковский) ( Omsk, 25 septembrie 1944 - Krasnodar, 24 decembrie 2011) a fost un şahist rusesc. El a fost un grootmeester FIDE. Tsesjkovski a participat la campionatul Rusiei care a avut loc în noiembrie 2004 la Moskou şi este cel mai vechi participant. În 1978 (gedeeld prime cu Mich"
Yggdrasil,"Yggdrasil is de naam van de ' Wereldboom' in de Noordse kosmogonie. De naam laat zich letterlijk vertalen als 'paard van Yggr', oftewel 'paard van Odin', en verwijst naar de felle levenskracht die hem draagt en overal heen voert. Tegenwoordig wordt 'Yggdrasill' (met extra l) geschreven, die staat als uitgang bij de nominatief. Yggdrasil is de levensboom en kennisboom, het symbool van de eindeloos vertakte vorm van dat wat is. Tegelijk draagt en verbindt hij de werelden als wereldas (axis mundi). Deze toont tegelijk de weg naar het hogere, de weg die de sjamaan volgt om in het gebied van goden en geesten te komen. Hij reikt van de onderwereld dwars door de mensenwereld naar de wereld van goden en helden.","Yggdrasil is de wereldboom in de Noordse kosmogonie. De naam laat zich letterlijk vertalen als 'paard van Yggr', oftewel 'paard van Odin', en verwijst naar de felle levenskracht die hem draagt en overal heen voert. Yggdrasil is de levensboom en kennisboom, het symbool van de eindeloos vertakte vorm van dat wat is. Tegelijk draagt en verbindt hij de werelden als wereldas (axis mundi). Deze toont tegelijk de weg naar het hogere, de weg die de sjamaan volgt om in het gebied van goden en geesten te komen. Hij reikt van de onderwereld dwars door de mensenwereld naar de wereld van goden en helden.","summarize: Yggdrasil este numele ""boomului lumii” în cosmogonia nordică. Numele se traduce literal ca ""braţul lui Yggr”, adică ""braţul lui Odin”, şi se traduce prin ""braţul vieţii crude” care îl străbate şi îl duce peste tot. Tegenwoordig se traduce prin ""Yggdrasill” (cu litere suplimentare l), care stă ca ieşire din poartă la nominaltief"
Aardse_planeet,"Aardse planeten of terrestrische planeten zijn planeten waarvan het oppervlak is opgebouwd uit vaste stoffen. In het Zonnestelsel gaat het om Mercurius, Venus, Aarde en Mars; ook de dwergplaneten Pluto, Ceres en Eris, de Maan en de andere manen worden hier soms onder gerekend. De term terrestrische planeet komt van het Latijnse woord voor aarde, namelijk terra.In januari 2006 werd er een nieuwe aardse planeet buiten het Zonnestelsel ontdekt, deze heeft de aanduiding OGLE-2005-BLG-390Lb. Relatief zware aardse planeten, van ongeveer 5 aardmassa's, heten ook wel superaardes. Doordat deze planeten bij hun ontstaan dicht bij de Zon stonden verdampten de vluchtige stoffen grotendeels en bleef er een steenachtig oppervlak over. Binnenin bestaan ze vooral uit metaal en steen in gesmolten vorm. Afhankelijk van de omstandigheden kunnen ze een relatief dunne atmosfeer hebben. Het is niet zo dat alle 'aardse planeten' geschikt zijn om op te leven.De verder naar buiten gelegen planeten bestaan voor een groot deel uit gassen als waterstof en helium, en heten daarom ook wel gasreuzen, of, naar het voorbeeld Jupiter, Joviaanse planeten. Deze gasreuzen hebben vaak geen vaste korst. Volgens nieuwe inzichten worden Uranus en Neptunus geen gasreuzen maar ijsreuzen genoemd.","Aardse planeten of terrestrische planeten zijn planeten waarvan het oppervlak is opgebouwd uit vaste stoffen. In het zonnestelsel gaat het om Mercurius, Venus, Aarde en Mars; ook de dwergplaneten Pluto, Ceres en Eris, de Maan en de andere manen worden hier soms onder gerekend. De term terrestrische planeet komt van het Latijnse woord voor aarde: 'terra'. In januari 2006 werd er een nieuwe aardse exoplaneet (planeet buiten het zonnestelsel) ontdekt. Deze heeft de aanduiding OGLE-2005-BLG-390Lb. Relatief zware aardse planeten, van ongeveer 5 aardmassa's, heten ook wel superaardes.","summarize: planetele aeriene de planete terestre sunt planete al căror suprafaţă este compusă din ţesături vaste. În sistemul Zonne este vorba de Mercurius, Venus, Aarde şi Mars; de asemenea, planetele de vulturi Pluto, Ceres şi Eris, Maan şi alte fiinţe umane sunt numite uneori planete terestre. Termenul de planetă terestră provine din cuvântul"
Willem_van_Gulik_de_Jongere,"Willem van Gulik ( 1275 - 18 augustus 1304) (genoemd de Jongere om hem te onderscheiden van zijn broer Willem van Gulik de Oudere) was een zoon van Willem V van Gulik en van Maria, een dochter van Gwijde van Dampierre, graaf van Vlaanderen, uit diens huwelijk met Mathilde van Béthune. Willems vader en ook zijn grootvader Willem IV van Gulik sneuvelden op 17 maart 1278 bij een straatgevecht met inwoners uit Aken. Willem was de vertegenwoordiger van het grafelijk gezag in Vlaanderen in de periode dat zijn grootvader Gwijde van Dampierre de gevangene was van zijn leenheer, de Franse koning Filips de Schone. Samen met Pieter de Coninck was hij (en niet Jan Breydel, zoals Hendrik Conscience ten onrechte in zijn boek De Leeuw van Vlaanderen stelt) de krachtige figuur en de leider in de opstand tegen de annexatiepolitiek van de Franse koning. Willem studeerde in 1300 aan de universiteit van Bologna, waarmee hij een van de weinige edelen van zijn tijd was met een zekere intellectuele vorming. Ook was hij geïnteresseerd in astrologie, meer nog dan in theologie. In 1301 was hij proost van het kapittel van Sint-Servaas in Maastricht en aartsdiaken van het prinsbisdom Luik. In mei 1302 kwam Willem aan in Brugge met zijn huurleger, waaronder zijn broer Gerard en ridders uit het Maasland ( Lontzen, Pietersheim en Julémont). Hij voelde zich verbonden met de Vlaamse zaak omdat zijn moeder een dochter was van Gwijde van Dampierre. Daarnaast wilde hij zijn grootvader Gwijde en zijn grootooms Robrecht III van Bethune en Willem van Dendermonde, in Franse gevangenschap, wreken. Een extra motief was de wrede manier waarop de Fransen zijn oom, graaf Walram van Gulik tijdens de slag bij Bulskamp in 1297 tegen alle toenmalige gedragscodes in hadden gedood. Later bleek dit feit een van de redenen te zijn waarom de Vlamingen tijdens de Guldensporenslag de levens van de Franse edellieden evenmin spaarden. De Bruggelingen zagen in hem, door zijn imposante en zwierige verschijning, zijn welsprekendheid en gedrevenheid, de man die hen van het juk van de Fransen en de koningsgezinde Vlamingen kon bevrijden. Hij werd onmiddellijk tot ruwaard uitgeroepen, als plaatsvervanger van zijn grootvader. Hij slaagde er niet in Gent te betrekken in het verzet tegen de koning. Hij was een van de bezielers van de Vlaamse stedelingen en boeren die in 1302 een professioneel Frans ridderleger versloegen tijdens de Guldensporenslag. Bij deze veldslag werd hij zwaar verwond door een pijl doorheen zijn maliënkolder. De stad Kassel gaf zich aan hem over en in november veroverde hij het kasteel van Rupelmonde. Tijdens de slag bij Arke, op 4 april 1303, verplichtte hij de Fransen het slagveld te ontruimen. Later dat jaar, op 12 juli, verleende hij steun bij de verovering van Terwaan. Willem, die aan het hoofd stond van de Ieperse strijdmacht, sneuvelde tijdens de Slag bij Pevelenberg. Zijn afdeling was de eerste die vóór zonsopgang een verrassingsaanval op de Fransen lanceerde en paniek veroorzaakte. Hij ging voorop bij de aanval op de lijfwacht van Filips de Schone en was zo ver doorgedrongen dat hij en zijn strijdmakkers werden omsingeld en gedood. Hierdoor kenden de Vlamingen de omstandigheden van zijn dood niet. Zijn lijk werd nooit geïdentificeerd, zijn wapenrusting nooit teruggevonden. Dit gaf voeding aan de legende dat hij zou terugkeren als Vlaanderen zijn hulp opnieuw nodig had. Willem beoefende de magische kunst. Een bezweerder uit zijn gevolg beloofde Willem dat hij, door een magische spreuk die hij hem had aangeleerd, onzichtbaar werd voor zijn vijand. Dit zou een verklaring kunnen zijn voor Willems drieste en overmoedig optreden dat uiteindelijk tot zijn dood leidde. Deze man werd later door hertog Jan II van Brabant aangehouden, veroordeeld en geradbraakt.","Willem van Gulik (1275 - 18 augustus 1304) was een middeleeuws ridder en geestelijke. Hij was onder andere proost van het Sint-Servaaskapittel in Maastricht. In die hoedanigheid was hij tevens heer van de Elf banken van Sint-Servaas, Tweebergen en Mechelen-aan-de-Maas. Hij is met name bekend vanwege zijn rol in de Guldensporenslag (1302).","summarize: Willem van Gulik (cunoscut de Jongere pentru că l-a despărţit de fratele său Willem van Gulik de Oudere) a fost un fiu al lui Willem V van Gulik şi al Mariei, o fiică a lui Gwijde van Dampierre, graaf din Vlaanderen, din căsătoria sa anterioară cu Mathilde din Béthune. Willem şi marele său călăuzitor Willem IV"
Lindisfarne,"Lindisfarne (Gaelisch: Le'n Dis fearann: Land met God) is een eiland voor de noordoostelijke kust van Engeland, ter hoogte van Berwick-upon-Tweed, en de naam van een klooster op dit eiland. Het wordt ook 'Holy Island' (heilig eiland) genoemd wat ook de naam van de civil parish is. Het eiland is verbonden met Northumberland op het Britse hoofdeiland door een dam die echter bij vloed onder water loopt. Het klooster is rond 635 gesticht door de Ierse monnik Aiden van Lindesfarne, die van het eiland Iona kwam.In 793 werd het klooster geplunderd door Vikingen.Lindisfarne is vooral bekend van het Lindisfarne-evangeliarium (het Lindisfarne- evangelie), een bijzonder rijk geïllustreerd handschrift uit de achtste eeuw. Het Lindisfarne evangeliarium bevindt zich nu in de British Library in Londen. De kalkovens van Lindisfarne zijn stilgelegd, maar er wordt nog steeds mede geproduceerd. In de zuidoosthoek van het eiland ligt Lindisfarne Castle op een steile klif, een 16e eeuws kasteel dat in het begin van de twintigste eeuw door de architect Edwin Lutyens gerestaureerd werd en ingericht in de Arts and Crafts-stijl. In 1966 werd de film Cul-de-sac (1966) van Roman Polanski er opgenomen.","Lindisfarne, ook Holy Island, (Gaelisch: Le'n Dis fearann: Land met God) is een getijdeneiland voor de noordoostelijke kust van Engeland, ter hoogte van Berwick-upon-Tweed, en de naam van een klooster (priorij) en kasteel op dit eiland. Lindisfarne wordt ook wel \""Holy Island\"" (heilig eiland) genoemd, wat tevens de naam van de civil parish is. Het eiland is verbonden met Northumberland op het Britse vasteland door een dam die bij vloed onder water loopt.","summarize: Lindisfarne (Gaelisch: Le'n Dis fearann: Land with God) este un insula pentru coasta noord-vestică a Angliei, pe o pantă de Berwick-upon-Tweed, cu numele unui klooster pe acest insulă, numit şi ""Insula Sfântă” (insula sfântă), ceea ce este şi numele parlamentului civil. insula este legată de nord-umberland"
Dordtse_Leerregels,"De Dordtse Leerregels zijn opgesteld op de Synode van Dordrecht, een landelijke vergadering van gereformeerde kerken in 1618 en 1619 in Dordrecht die ook bijgewoond werd door vertegenwoordigers van buitenlandse gereformeerde kerken. De Dordtse Leerregels zijn een weerlegging van de Vijf artikelen van de remonstranten, de Dordtse Leerregels worden daarom ook wel de Vijf artikelen tegen de remonstranten genoemd. De Dordtse Synode was een landelijke synode die bijeengeroepen was door de Staten-Generaal van de Verenigde Nederlanden om uitspraak te doen over de opvattingen van de remonstranten. De remonstranten werden op de Synode van Dordrecht unaniem veroordeeld door de contraremonstranten. Hun leer was, volgens de overige deelnemers aan de Synode, niet in overeenstemming met de bijbel. In de leerregels is de veroordeling schriftelijk vastgelegd. De Dordtse Leerregels werden als één van de Drie Formulieren van Enigheid onderdeel van de belijdenis van de gereformeerde kerk in Nederland en daarmee ook van alle kerken die zich als voortzetting van deze kerk beschouwen.","De Dordtse Leerregels zijn opgesteld op de Synode van Dordrecht, een landelijke vergadering van gereformeerde kerken in 1618 en 1619 in Dordrecht die ook bijgewoond werd door vertegenwoordigers van buitenlandse gereformeerde kerken. De Dordtse Leerregels zijn een weerlegging van de Vijf artikelen van de remonstranten, de Dordtse Leerregels worden daarom ook wel de Vijf artikelen tegen de remonstranten genoemd.","summarize: Regulamentele de lectură Dordtse au fost adoptate în cadrul Sinodului de la Dordrecht, o întrunire landală a bisericilor reformate din 1618 şi 1619 din Dordrecht, care a fost şi întrunită de reprezentanţii bisericilor reformate din străinătate. Regulamentele de lectură Dordtse sunt o întrunire a celor Vize articole ale remonstranţilor, prin urmare şi numite Vi"
